Time,Latitude,Longitude,NO2
2020-04-01 13:20:13.120191,-85.42551,52.80014,-1.2676506e+30
2020-04-01 13:20:13.120191,-85.133194,52.490913,-1.2676506e+30
2020-04-01 13:20:13.120191,-84.85275,52.24183,-1.2676506e+30
2020-04-01 13:20:13.120191,-84.58272,52.039562,-1.2676506e+30
2020-04-01 13:20:13.120191,-84.32176,51.87436,-1.2676506e+30
2020-04-01 13:20:13.120191,-84.06874,51.73892,-1.2676506e+30
2020-04-01 13:20:13.120191,-83.8226,51.62768,-1.2676506e+30
2020-04-01 13:20:13.120191,-83.582405,51.536335,-1.2676506e+30
2020-04-01 13:20:13.120191,-83.3473,51.461506,-1.2676506e+30
2020-04-01 13:20:13.120191,-83.11649,51.400536,-1.2676506e+30
2020-04-01 13:20:13.120191,-82.88925,51.351307,-1.2676506e+30
2020-04-01 13:20:13.120191,-82.66489,51.312134,-1.2676506e+30
2020-04-01 13:20:13.120191,-82.44275,51.281685,-1.2676506e+30
2020-04-01 13:20:13.120191,-82.22221,51.258904,-1.2676506e+30
2020-04-01 13:20:13.120191,-82.00267,51.24297,-1.2676506e+30
2020-04-01 13:20:13.120191,-81.78353,51.233246,-1.2676506e+30
2020-04-01 13:20:13.120191,-81.564186,51.22926,-1.2676506e+30
2020-04-01 13:20:13.120191,-81.34406,51.230682,-1.2676506e+30
2020-04-01 13:20:13.120191,-81.12254,51.237286,-1.2676506e+30
2020-04-01 13:20:13.120191,-80.89901,51.24896,-1.2676506e+30
2020-04-01 13:20:13.120191,-80.67281,51.26565,-1.2676506e+30
2020-04-01 13:20:13.120191,-80.44328,51.287407,-1.2676506e+30
2020-04-01 13:20:13.120191,-80.20968,51.314316,-1.2676506e+30
2020-04-01 13:20:13.120191,-79.97124,51.34652,-1.2676506e+30
2020-04-01 13:20:13.120191,-79.727104,51.38421,-1.2676506e+30
2020-04-01 13:20:13.120191,-79.47635,51.427593,-1.2676506e+30
2020-04-01 13:20:13.120191,-79.21794,51.47692,-1.2676506e+30
2020-04-01 13:20:13.120191,-78.95073,51.532448,-1.2676506e+30
2020-04-01 13:20:13.120191,-78.673416,51.594444,-1.2676506e+30
2020-04-01 13:20:13.120191,-78.384514,51.663174,-1.2676506e+30
2020-04-01 13:20:13.120191,-78.08232,51.738895,-1.2676506e+30
2020-04-01 13:20:13.120191,-77.76485,51.821857,-1.2676506e+30
2020-04-01 13:20:13.120191,-77.42976,51.912285,-1.2676506e+30
2020-04-01 13:20:13.120191,-77.0743,52.010365,-1.2676506e+30
2020-04-01 13:20:13.120191,-76.695145,52.116253,-1.2676506e+30
2020-04-01 13:20:13.120191,-76.28825,52.230053,-1.2676506e+30
2020-04-01 13:20:13.120191,-75.848625,52.351814,-1.2676506e+30
2020-04-01 13:20:13.120191,-75.37001,52.48153,-1.2676506e+30
2020-04-01 13:20:13.120191,-74.8444,52.619118,-1.2676506e+30
2020-04-01 13:20:13.120191,-74.2613,52.764446,-1.2676506e+30
2020-04-01 13:20:13.120191,-73.60664,52.917316,-1.2676506e+30
2020-04-01 13:20:13.120191,-72.86087,53.07753,-1.2676506e+30
2020-04-01 13:20:13.120191,-71.99558,53.244926,-1.2676506e+30
2020-04-01 13:20:13.120191,-70.967224,53.419586,-1.2676506e+30
2020-04-01 13:20:13.120191,-69.70331,53.6022,-1.2676506e+30
2020-04-01 13:20:15.120573,-85.513725,-139.32932,-1.2676506e+30
2020-04-01 13:20:15.120573,-86.850845,-141.58441,-1.2676506e+30
2020-04-01 13:20:15.120573,-87.92061,-145.4341,-1.2676506e+30
2020-04-01 13:20:15.120573,-88.79617,-153.8041,-1.2676506e+30
2020-04-01 13:20:15.120573,-89.46194,177.42693,-1.2676506e+30
2020-04-01 13:20:15.120573,-89.48618,97.033676,-1.2676506e+30
2020-04-01 13:20:15.120573,-88.99258,69.169914,-1.2676506e+30
2020-04-01 13:20:15.120573,-88.47963,61.03107,-1.2676506e+30
2020-04-01 13:20:15.120573,-87.99999,57.34351,-1.2676506e+30
2020-04-01 13:20:15.120573,-87.555626,55.268665,-1.2676506e+30
2020-04-01 13:20:15.120573,-87.14294,53.952457,-1.2676506e+30
2020-04-01 13:20:15.120573,-86.75788,53.053276,-1.2676506e+30
2020-04-01 13:20:15.120573,-86.39677,52.408176,-1.2676506e+30
2020-04-01 13:20:15.120573,-86.05642,51.92953,-1.2676506e+30
2020-04-01 13:20:15.120573,-85.734116,51.56594,-1.2676506e+30
